Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,23.2,34.8,46.4,58.0,59.3,60.6,61.9,63.2,64.5
Bulgaria,38.0,39.52,41.04,42.56,44.08,45.6,46.6,47.6,48.6,49.6,50.6,51.14,51.68,52.22,52.76,53.3,53.94,54.58,55.22,55.86,56.5,57.22,57.94,58.66,59.38,60.1,60.8,61.5,62.2,62.9,63.6,64.16,64.72,65.28,65.84,66.4,66.68,66.96,67.24,67.52,67.8,67.76,67.72,67.68,67.64,67.6,67.24,66.88,66.52,66.16,65.8,67.62,69.44,71.26,73.08,74.9,76.74,78.58,80.42,82.26,84.1
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.26,0.32,0.38,0.44,0.5,0.6,0.7,0.8,0.9,1.0,1.12,1.24,1.36,1.48,1.6,1.66,1.72,1.78,1.84,1.9,1.82,1.74,1.66,1.58,1.5,2.18,2.86,3.54,4.22,4.9,5.58,6.26,6.94,7.62,8.3,9.02,9.74,10.46,11.18,11.9
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.14,0.16,0.18,0.2,0.24,0.28,0.32,0.36,0.4,0.52,0.64,0.76,0.88,1.0,1.16,1.32,1.48,1.64,1.8,2.0,2.2,2.4,2.6,2.8,2.9,3.0,3.1,3.2,3.3,4.04,4.78,5.52,6.26,7.0,7.76,8.52,9.28,10.04,10.8
Cambodia,0.4,0.4,0.4,0.4,0.4,0.4,0.44,0.48,0.52,0.56,0.6,0.64,0.68,0.72,0.76,0.8,0.86,0.92,0.98,1.04,1.1,1.12,1.14,1.16,1.18,1.2,1.44,1.68,1.92,2.16,2.4,3.12,3.84,4.56,5.28,6.0,6.56,7.12,7.68,8.24,8.8,9.2,9.6,10.0,10.4,10.8,11.32,11.84,12.36,12.88,13.4,14.58,15.76,16.94,18.12,19.3,20.48,21.66,22.84,24.02,25.2
Cameroon,0.8,0.84,0.88,0.92,0.96,1.0,1.14,1.28,1.42,1.56,1.7,1.88,2.06,2.24,2.42,2.6,2.88,3.16,3.44,3.72,4.0,4.4,4.8,5.2,5.6,6.0,6.62,7.24,7.86,8.48,9.1,9.76,10.42,11.08,11.74,12.4,13.26,14.12,14.98,15.84,16.7,17.72,18.74,19.76,20.78,21.8,22.58,23.36,24.14,24.92,25.7,26.52,27.34,28.16,28.98,29.8,30.62,31.44,32.26,33.08,33.9
Canada,46.3,47.66,49.02,50.38,51.74,53.1,54.12,55.14,56.16,57.18,58.2,58.94,59.68,60.42,61.16,61.9,62.6,63.3,64.0,64.7,65.4,66.04,66.68,67.32,67.96,68.6,69.06,69.52,69.98,70.44,70.9,71.18,71.46,71.74,72.02,72.3,72.66,73.02,73.38,73.74,74.1,74.48,74.86,75.24,75.62,76.0,76.26,76.52,76.78,77.04,77.3,78.6,79.9,81.2,82.5,83.8,84.82,85.84,86.86,87.88,88.9
Cape Verde,0.3,0.34,0.38,0.42,0.46,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.2,2.4,2.6,2.8,3.0,3.18,3.36,3.54,3.72,3.9,4.2,4.5,4.8,5.1,5.4,6.18,6.96,7.74,8.52,9.3,10.1,10.9,11.7,12.5,13.3,13.74,14.18,14.62,15.06,15.5,16.14,16.78,17.42,18.06,18.7,19.4,20.1,20.8,21.5,22.2
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.16,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.7,1.74,1.78,1.82,1.86,1.9,1.82,1.74,1.66,1.58,1.5,1.42,1.34,1.26,1.18,1.1,1.68,2.26,2.84,3.42,4.0,4.6,5.2,5.8,6.4,7.0,7.58,8.16,8.74,9.32,9.9,10.48,11.06,11.64,12.22,12.8,13.42,14.04,14.66,15.28,15.9
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.16,0.2,0.28,0.36,0.44,0.52,0.6,0.56,0.52,0.48,0.44,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.7,0.8,0.9,1.0,1.1,1.24,1.38,1.52,1.66,1.8,2.0,2.2,2.4,2.6,2.8,3.24,3.68,4.12,4.56,5.0,5.56,6.12,6.68,7.24,7.8,8.56,9.32,10.08,10.84,11.6
Channel Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18,32.36,48.54,64.72,80.9,81.64,82.38,83.12,83.86,84.6
Chile,13.1,13.9,14.7,15.5,16.3,17.1,18.22,19.34,20.46,21.58,22.7,24.0,25.3,26.6,27.9,29.2,30.42,31.64,32.86,34.08,35.3,36.4,37.5,38.6,39.7,40.8,41.62,42.44,43.26,44.08,44.9,45.42,45.94,46.46,46.98,47.5,48.1,48.7,49.3,49.9,50.5,51.88,53.26,54.64,56.02,57.4,58.82,60.24,61.66,63.08,64.5,65.9,67.3,68.7,70.1,71.5,72.88,74.26,75.64,77.02,78.4
China,2.8,3.22,3.64,4.06,4.48,4.9,5.5,6.1,6.7,7.3,7.9,8.92,9.94,10.96,11.98,13.0,13.88,14.76,15.64,16.52,17.4,17.52,17.64,17.76,17.88,18.0,18.32,18.64,18.96,19.28,19.6,20.74,21.88,23.02,24.16,25.3,26.74,28.18,29.62,31.06,32.5,33.78,35.06,36.34,37.62,38.9,40.26,41.62,42.98,44.34,45.7,47.28,48.86,50.44,52.02,53.6,55.14,56.68,58.22,59.76,61.3
Colombia,2.2,2.54,2.88,3.22,3.56,3.9,4.44,4.98,5.52,6.06,6.6,7.44,8.28,9.12,9.96,10.8,11.98,13.16,14.34,15.52,16.7,18.0,19.3,20.6,21.9,23.2,24.5,25.8,27.1,28.4,29.7,31.22,32.74,34.26,35.78,37.3,39.22,41.14,43.06,44.98,46.9,48.52,50.14,51.76,53.38,55.0,55.88,56.76,57.64,58.52,59.4,60.32,61.24,62.16,63.08,64.0,64.92,65.84,66.76,67.68,68.6
Comoros,0.0,0.02,0.04,0.06,0.08,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.4,1.6,1.84,2.08,2.32,2.56,2.8,3.14,3.48,3.82,4.16,4.5,4.8,5.1,5.4,5.7,6.0,6.22,6.44,6.66,6.88,7.1,7.5,7.9,8.3,8.7,9.1,9.72,10.34,10.96,11.58,12.2,13.04,13.88,14.72,15.56,16.4,18.76,21.12,23.48,25.84,28.2,30.62,33.04,35.46,37.88,40.3
"Congo, Rep.",0.7,0.9,1.1,1.3,1.5,1.7,2.16,2.62,3.08,3.54,4.0,4.26,4.52,4.78,5.04,5.3,6.12,6.94,7.76,8.58,9.4,10.3,11.2,12.1,13.0,13.9,14.52,15.14,15.76,16.38,17.0,17.04,17.08,17.12,17.16,17.2,16.82,16.44,16.06,15.68,15.3,14.94,14.58,14.22,13.86,13.5,13.3,13.1,12.9,12.7,12.5,14.06,15.62,17.18,18.74,20.3,21.94,23.58,25.22,26.86,28.5
Costa Rica,5.7,6.4,7.1,7.8,8.5,9.2,10.04,10.88,11.72,12.56,13.4,14.34,15.28,16.22,17.16,18.1,18.92,19.74,20.56,21.38,22.2,22.8,23.4,24.0,24.6,25.2,25.58,25.96,26.34,26.72,27.1,27.66,28.22,28.78,29.34,29.9,30.56,31.22,31.88,32.54,33.2,34.06,34.92,35.78,36.64,37.5,38.48,39.46,40.44,41.42,42.4,43.72,45.04,46.36,47.68,49.0,50.32,51.64,52.96,54.28,55.6
Cote d'Ivoire,0.2,0.24,0.28,0.32,0.36,0.4,0.46,0.52,0.58,0.64,0.7,0.76,0.82,0.88,0.94,1.0,1.14,1.28,1.42,1.56,1.7,1.86,2.02,2.18,2.34,2.5,2.7,2.9,3.1,3.3,3.5,3.72,3.94,4.16,4.38,4.6,4.74,4.88,5.02,5.16,5.3,5.64,5.98,6.32,6.66,7.0,7.6,8.2,8.8,9.4,10.0,11.02,12.04,13.06,14.08,15.1,16.22,17.34,18.46,19.58,20.7
Croatia,37.5,39.3,41.1,42.9,44.7,46.5,47.84,49.18,50.52,51.86,53.2,54.42,55.64,56.86,58.08,59.3,60.56,61.82,63.08,64.34,65.6,66.56,67.52,68.48,69.44,70.4,71.04,71.68,72.32,72.96,73.6,74.02,74.44,74.86,75.28,75.7,75.98,76.26,76.54,76.82,77.1,77.18,77.26,77.34,77.42,77.5,77.58,77.66,77.74,77.82,77.9,79.24,80.58,81.92,83.26,84.6,85.78,86.96,88.14,89.32,90.5
Cuba,8.4,9.14,9.88,10.62,11.36,12.1,12.8,13.5,14.2,14.9,15.6,16.36,17.12,17.88,18.64,19.4,20.22,21.04,21.86,22.68,23.5,24.3,25.1,25.9,26.7,27.5,28.16,28.82,29.48,30.14,30.8,31.4,32.0,32.6,33.2,33.8,34.36,34.92,35.48,36.04,36.6,38.62,40.64,42.66,44.68,46.7,48.72,50.74,52.76,54.78,56.8,58.82,60.84,62.86,64.88,66.9,68.92,70.94,72.96,74.98,77.0
Curaçao,7.6,8.22,8.84,9.46,10.08,10.7,11.54,12.38,13.22,14.06,14.9,15.74,16.58,17.42,18.26,19.1,19.66,20.22,20.78,21.34,21.9,22.52,23.14,23.76,24.38,25.0,25.46,25.92,26.38,26.84,27.3,27.74,28.18,28.62,29.06,29.5,29.76,30.02,30.28,30.54,30.8,31.16,31.52,31.88,32.24,32.6,32.92,33.24,33.56,33.88,34.2,37.32,40.44,43.56,46.68,49.8,52.86,55.92,58.98,62.04,65.1
Cyprus,17.0,18.76,20.52,22.28,24.04,25.8,27.88,29.96,32.04,34.12,36.2,38.38,40.56,42.74,44.92,47.1,49.0,50.9,52.8,54.7,56.6,58.02,59.44,60.86,62.28,63.7,64.68,65.66,66.64,67.62,68.6,69.4,70.2,71.0,71.8,72.6,73.28,73.96,74.64,75.32,76.0,76.48,76.96,77.44,77.92,78.4,78.7,79.0,79.3,79.6,79.9,81.0,82.1,83.2,84.3,85.4,86.28,87.16,88.04,88.92,89.8
Czech Republic,51.0,51.92,52.84,53.76,54.68,55.6,56.22,56.84,57.46,58.08,58.7,59.24,59.78,60.32,60.86,61.4,61.98,62.56,63.14,63.72,64.3,64.6,64.9,65.2,65.5,65.8,66.0,66.2,66.4,66.6,66.8,66.98,67.16,67.34,67.52,67.7,67.96,68.22,68.48,68.74,69.0,69.28,69.56,69.84,70.12,70.4,70.64,70.88,71.12,71.36,71.6,73.4,75.2,77.0,78.8,80.6,82.28,83.96,85.64,87.32,89.0
North Korea,70.5,72.74,74.98,77.22,79.46,81.7,83.96,86.22,88.48,90.74,93.0,94.18,95.36,96.54,97.72,98.9,99.1,99.3,99.5,99.7,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Congo, Dem. Rep.",0.3,0.36,0.42,0.48,0.54,0.6,0.74,0.88,1.02,1.16,1.3,1.56,1.82,2.08,2.34,2.6,3.02,3.44,3.86,4.28,4.7,5.18,5.66,6.14,6.62,7.1,7.7,8.3,8.9,9.5,10.1,10.74,11.38,12.02,12.66,13.3,13.84,14.38,14.92,15.46,16.0,16.5,17.0,17.5,18.0,18.5,19.14,19.78,20.42,21.06,21.7,22.32,22.94,23.56,24.18,24.8,26.26,27.72,29.18,30.64,32.1
Denmark,28.3,29.04,29.78,30.52,31.26,32.0,32.58,33.16,33.74,34.32,34.9,35.44,35.98,36.52,37.06,37.6,38.22,38.84,39.46,40.08,40.7,41.3,41.9,42.5,43.1,43.7,44.06,44.42,44.78,45.14,45.5,45.72,45.94,46.16,46.38,46.6,46.82,47.04,47.26,47.48,47.7,48.06,48.42,48.78,49.14,49.5,50.2,50.9,51.6,52.3,53.0,55.66,58.32,60.98,63.64,66.3,68.9,71.5,74.1,76.7,79.3
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,8.2,12.3,16.4,20.5,21.86,23.22,24.58,25.94,27.3
